spine_no,cover_img,title,url,director,country,year
1071,https://s3.amazonaws.com/criterion-production/films/9b63f522575ce8171a84443e985dbd7b/cSgOmQUCggSN7pk6qfvRhRDKQxUDDZ_thumbnail.jpg,Defending Your Life,https://www.criterion.com/films/29634-defending-your-life,Albert Brooks,United States,1991
837,https://s3.amazonaws.com/criterion-production/films/68df1877f011e5cc0d15378352c8d8a1/gr0TBE0B2FkVmq5BPOeS3xlzufID1T_thumbnail.jpg,Dekalog,https://www.criterion.com/films/28661-dekalog,Krzysztof Kieślowski,Poland,1988
902,https://s3.amazonaws.com/criterion-production/films/03324a6531ef2d5b59362c4c1f526f8d/W9BXrsLXnGb3dsEG98WrRJ9UuJHSWx_thumbnail.jpg,Desert Hearts,https://www.criterion.com/films/29139-desert-hearts,Donna Deitch,United States,1985
592,https://s3.amazonaws.com/criterion-production/films/0bc7991baccfd892013d8205524fc5fc/1t5qOue6yevJfbHljbCbHYBCUCBVsa_thumbnail.jpg,Design for Living,https://www.criterion.com/films/27872-design-for-living,Ernst Lubitsch,United States,1933
,https://s3.amazonaws.com/criterion-production/films/94cf0c82e7df5bb8c09439168218d976/Ll0cFvXAawJsbIRpykHOXGFgRm4n1c_thumbnail.jpg,Désiré,https://www.criterion.com/films/26184-d-sir,Sacha Guitry,France,1937
,https://s3.amazonaws.com/criterion-production/films/1dd15fdf3d6be319f4477b12f4ed5b43/Z6GsOQiR9sk5pPAhi2ykMh1ZJ75zYk_thumbnail.jpg,Destroy All Monsters,https://www.criterion.com/films/29347-destroy-all-monsters,Ishiro Honda,Japan,1968
1024,https://s3.amazonaws.com/criterion-production/films/36fa49e72f1b22eb2da8666d3df12704/NYApshBAzWWbOpps4xtjB1L9La7xTa_thumbnail.jpg,Destry Rides Again,https://www.criterion.com/films/29002-destry-rides-again,George Marshall,United States,1939
966,https://s3.amazonaws.com/criterion-production/films/fcb436f8203ef98b638790f6a82f95e9/GutBaftf16Agrr2DM24YR0NmOZNO2L_thumbnail.jpg,Detour,https://www.criterion.com/films/29614-detour,Edgar G. Ulmer,United States,1945
448,https://s3.amazonaws.com/criterion-production/films/87dc773b5e804078f433611b6996df4b/5NngVtv2Plz7E6NhXX1dOMYSiYTSUF_thumbnail.jpg,Le deuxième souffle,https://www.criterion.com/films/760-le-deuxi-me-souffle,Jean-Pierre Melville,France,1966
1102,https://s3.amazonaws.com/criterion-production/films/41a4603b08ce15c6034852e8f4e43427/xNsamgU90AgSxCEEf6WJUqadV2dfxm_thumbnail.jpg,Devi,https://www.criterion.com/films/27906-devi,Satyajit Ray,India,1960
214,https://s3.amazonaws.com/criterion-production/films/711e752ce9b5c42995bb463693a0f371/RN7rkLPEIs51hWPn9yes29Zlzsj0cW_thumbnail.jpg,The Devil and Daniel Webster,https://www.criterion.com/films/622-the-devil-and-daniel-webster,William Dieterle,United States,1941
935,https://s3.amazonaws.com/criterion-production/films/41e7f800145b5728357da5c895e22e3e/l3fnAsHEUEoLZsXiq6KoR4e6IWR4lk_thumbnail.jpg,The Devil Is a Woman,https://www.criterion.com/films/28983-the-devil-is-a-woman,Josef von Sternberg,United States,1935
666,https://s3.amazonaws.com/criterion-production/films/2d2ca1ee563de89f50f5cbe2712903ec/8L4xcUeNLUCM7wiQxbxB9gT5w1Nlf4_thumbnail.jpg,The Devil’s Backbone,https://www.criterion.com/films/27914-the-devil-s-backbone,Guillermo del Toro,Mexico,2001
,https://s3.amazonaws.com/criterion-production/films/2b90161ea5506de4d1960e99dc7218d6/eNPsJqxJmUlYIXJFxdeZzgjXavDdbf_thumbnail.jpg,The Devil’s Eye,https://www.criterion.com/films/28193-the-devil-s-eye,Ingmar Bergman,Sweden,1960
871,https://s3.amazonaws.com/criterion-production/films/8d1c34bd6af4fa432ec28aebc0ad55d6/FMt4h5XnG7oyewPgkLZPxdrXDUPq0v_thumbnail.jpg,Dheepan,https://www.criterion.com/films/29103-dheepan,Jacques Audiard,France,2015
35,https://s3.amazonaws.com/criterion-production/films/8ad483e8370aa256e8c9ca948661a23f/9hcuAM2tFd0symu9gCWBOnJWhVBXKJ_thumbnail.jpg,Diabolique,https://www.criterion.com/films/575-diabolique,Henri-Georges Clouzot,France,1955
969,https://s3.amazonaws.com/criterion-production/films/846782a86f974677f8cc1565cd78d567/JXbgXFlzpc3Icnzi3hvX8Ftsto3q0Q_thumbnail.jpg,Diamonds of the Night,https://www.criterion.com/films/29375-diamonds-of-the-night,Jan Němec,Czechoslovakia,1964
117,https://s3.amazonaws.com/criterion-production/films/72cae6c4314633b132ea3344963cbb28/55oQcXOOXFWiiCcbKksF9JdYBABk2U_thumbnail.jpg,Diary of a Chambermaid,https://www.criterion.com/films/656-diary-of-a-chambermaid,Luis Buñuel,France,1964
222,https://s3.amazonaws.com/criterion-production/films/38f25eb744529ce7b5eab16928217c66/ybtLbvWGrpo9prC4syVXEPuX43ewCS_thumbnail.jpg,Diary of a Country Priest,https://www.criterion.com/films/452-diary-of-a-country-priest,Robert Bresson,France,1951
1111,https://s3.amazonaws.com/criterion-production/films/a994fc466ee3c064c7ebfd4e5897c517/EBnz2kbd21duh5ZPp9Qam4bJTkgf9g_thumbnail.jpg,Dick Johnson Is Dead,https://www.criterion.com/films/32311-dick-johnson-is-dead,Kirsten Johnson,United States,2020
930,https://s3.amazonaws.com/criterion-production/product_images/1913-aa161a0f125c18e184c759f4e6fa4d86/ne8EBMDiHqGQ5vJDvaBUV6wzuwbT3d_small.jpg,Dietrich & von Sternberg in Hollywood,https://www.criterion.com/boxsets/1329-dietrich-von-sternberg-in-hollywood,,,
506,https://s3.amazonaws.com/criterion-production/films/898808a9204021a47c57b59173c72e75/ttGzJdB52PJ2tfhbXB89WxPhDBytPI_thumbnail.jpg,Dillinger Is Dead,https://www.criterion.com/films/21641-dillinger-is-dead,Marco Ferreri,Italy,1969
102,https://s3.amazonaws.com/criterion-production/films/ec5399163d6dca9c04ee961a15f1c863/JegycjW6BfTUczUHnh51sLyJCVKQoy_thumbnail.jpg,The Discreet Charm of the Bourgeoisie,https://www.criterion.com/films/310-the-discreet-charm-of-the-bourgeoisie,Luis Buñuel,France,1972
932,https://s3.amazonaws.com/criterion-production/films/62fd36c599e894f60c25a44052304d61/FO1hvmgGePizWAhRc15lV7B3YQBZW7_thumbnail.jpg,Dishonored,https://www.criterion.com/films/28984-dishonored,Josef von Sternberg,United States,1931
286,https://s3.amazonaws.com/criterion-production/films/1fe503bed44263b70f7636796068ff8a/hTb7NjbnH3PFkEGB3AeotNhiyR4Wrg_thumbnail.jpg,Divorce Italian Style,https://www.criterion.com/films/877-divorce-italian-style,Pietro Germi,Italy,1961
531,https://s3.amazonaws.com/criterion-production/films/c95ef17d3f5b91ddf79776a8ae82423d/5CUoTbddFmMGGKxJr3F6e9FZpX9Nor_thumbnail.jpg,The Docks of New York,https://www.criterion.com/films/1942-the-docks-of-new-york,Josef von Sternberg,United States,1928
,https://s3.amazonaws.com/criterion-production/films/82e656ba8eb86c4bcba257b1cc5057d6/Lj5JMUR6heMs7TFAOzSW3cDceCRj6s_thumbnail.jpg,Documenteur,https://www.criterion.com/films/28630-documenteur,Agnès Varda,France,1981
465,https://s3.amazonaws.com/criterion-production/films/6bd0c9b65e7ea198e3eaa2f8155f8936/pFvySgxCKaSto7o69vmvh6Goar0cc9_thumbnail.jpg,Dodes’ka-den,https://www.criterion.com/films/1083-dodes-ka-den,Akira Kurosawa,Japan,1970
733,https://s3.amazonaws.com/criterion-production/films/41271853307b3fb10334a7d2b51e41ce/pDxTYardFcKk8EIL1qgmAJ96A9zCTn_thumbnail.jpg,La dolce vita,https://www.criterion.com/films/28619-la-dolce-vita,Federico Fellini,Italy,1960
,https://s3.amazonaws.com/criterion-production/films/a7127b93634281663783609475df1184/ZEZOEVz3wHw6BdpH18x6ilo8HQXIlj_thumbnail.jpg,Dollar,https://www.criterion.com/films/28868-dollar,Gustaf Molander,Sweden,1938
718,https://s3.amazonaws.com/criterion-production/films/0d0e677a1a41ed55b91945255155099e/BC17OwaidH7P63kztUaPqQojUAAIf9_thumbnail.jpg,Donkey Skin,https://www.criterion.com/films/28605-donkey-skin,Jacques Demy,France,1970
786,https://s3.amazonaws.com/criterion-production/films/520ccec1451bbeade3175c32ff46b736/SgNPHBjYshUm7a8TzlMLbbK0525KTN_thumbnail.jpg,Dont Look Back,https://www.criterion.com/films/28655-dont-look-back,D. A. Pennebaker,United States,1967
745,https://s3.amazonaws.com/criterion-production/films/cc8bd4832c5dfed21df33fab07991c26/rZ9q2C3qtZondOXlqMmIZ2DqND4Cnm_thumbnail.jpg,Don’t Look Now,https://www.criterion.com/films/27928-don-t-look-now,Nicolas Roeg,United Kingdom,1973
1096,https://s3.amazonaws.com/criterion-production/films/27173c38907245b89d05bf30e69494fb/czKr9S3bV9sJmjGbIPFXAjMlayWpVp_thumbnail.jpg,Don’t Play Us Cheap,https://www.criterion.com/films/32013-don-t-play-us-cheap,Melvin Van Peebles,United States,1972
1048,https://s3.amazonaws.com/criterion-production/films/6711344666d498e71084cb1e75913949/s4E0Sv8JIekIuZH2ziFxfYCvb6IMmh_thumbnail.jpg,Dos monjes,https://www.criterion.com/films/30306-dos-monjes,Juan Bustillo Oro,Mexico,1934
97,https://s3.amazonaws.com/criterion-production/films/7cabb0ef9ddb181882c3ea186935cafc/c2bhsytxhguD846PNcIr9m5mvMwcdi_thumbnail.jpg,Do the Right Thing,https://www.criterion.com/films/286-do-the-right-thing,Spike Lee,United States,1989
359,https://s3.amazonaws.com/criterion-production/films/3696c26f4ed9c4cd28f9451887257ca3/5ccWWR3eHcxxApgkyHF3AFiqNr43SG_thumbnail.jpg,The Double Life of Véronique,https://www.criterion.com/films/214-the-double-life-of-v-ronique,Krzysztof Kieślowski,France,1991
104,https://s3.amazonaws.com/criterion-production/films/0cfec1498639e5e592f6be9b58e86f04/foA3fkZR1nsGvXT3pyKNNN0b05Ht5Q_thumbnail.jpg,Double Suicide,https://www.criterion.com/films/640-double-suicide,Masahiro Shinoda,Japan,1969
,https://s3.amazonaws.com/criterion-production/films/54383fec44d7e8782575c44af765b4b3/zvkyPLbQ24L9VjH6jP1r4Q0jCYbVMY_thumbnail.jpg,Douce,https://www.criterion.com/films/27977-douce,Claude Autant-Lara,France,1943
447,https://s3.amazonaws.com/criterion-production/films/6813575ce7945498b15effc2cef1777a/Kcg04nsDzd1F6UYUmtIJ4pn5qRcDCz_thumbnail.jpg,Le doulos,https://www.criterion.com/films/759-le-doulos,Jean-Pierre Melville,France,1962
166,https://s3.amazonaws.com/criterion-production/films/971acca4acd64f837918ecb57ceae1b9/SE268veW5ULrxyQYNfzZrmscGa4E6I_thumbnail.jpg,Down by Law,https://www.criterion.com/films/719-down-by-law,Jim Jarmusch,United States,1986
494,https://s3.amazonaws.com/criterion-production/films/3859970acfa25c753d5729fa7a826324/cHMKMj7llu2JvYC0NhcGqio2GAprU7_thumbnail.jpg,Downhill Racer,https://www.criterion.com/films/20391-downhill-racer,Michael Ritchie,United States,1969
1050,https://s3.amazonaws.com/criterion-production/films/da701da8b959ed57a17d554363f9d3e9/9qTGddunzTotjC7350EEboKVTNYE37_thumbnail.jpg,Downpour,https://www.criterion.com/films/28601-downpour,Bahram Beyzaie,Iran,1972
,https://s3.amazonaws.com/criterion-production/films/de97512cb2042e20599db342636e2643/cOtClASRLalxeMq4NSOTUZgAkuDlJ4_thumbnail.jpg,Dragnet Girl,https://www.criterion.com/films/28224-dragnet-girl,Yasujiro Ozu,Japan,1933
937,https://s3.amazonaws.com/criterion-production/films/ccb827146c114a70eb9b1f37d8ade156/tBlNZHb7Ql0lqLZJxG3JbJaFVnQCrd_thumbnail.jpg,Dragon Inn,https://www.criterion.com/films/28790-dragon-inn,King Hu,Taiwan,1967
,https://s3.amazonaws.com/criterion-production/films/2599b9c16d32c3d6329126fa64ec8362/SguHbxDmn6EdZlee40oZEVl96TozlZ_thumbnail.jpg,Dreams,https://www.criterion.com/films/28206-dreams,Ingmar Bergman,Sweden,1955
770,https://s3.amazonaws.com/criterion-production/films/119ede93fcbb25f2a775ccf8cbe1d765/MZJJifQQcL1ioSEvZzaO0kYWvcpAhH_thumbnail.jpg,Dressed to Kill,https://www.criterion.com/films/28686-dressed-to-kill,Brian De Palma,United States,1980
547,https://s3.amazonaws.com/criterion-production/films/5dab1d4b720b8dba2951246a6e579875/SfyfBq0uCWQjg71QHpsDa6kWq59vXR_thumbnail.jpg,"Drive, He Said",https://www.criterion.com/films/27530-drive-he-said,Jack Nicholson,United States,1970
821,https://s3.amazonaws.com/criterion-production/films/0a9d8cafec1031c98436007b77553d6f/8RnJTFRJr7Ho5oNBlduI3C9erCpY1t_thumbnail.jpg,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb",https://www.criterion.com/films/28822-dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,Stanley Kubrick,United States,1964
,https://s3.amazonaws.com/criterion-production/films/d553accbf51cef7cc19d618828b7ed0d/jYUeo8MgP1pqO3q1edCBWDFTmWkIOV_thumbnail.jpg,The Drum,https://www.criterion.com/films/27599-the-drum,Zoltán Korda,United Kingdom,1938
413,https://s3.amazonaws.com/criterion-production/films/3748c742c2f41068012a9e70eef24beb/Z5VutaTNkaHewyJm6NXp4d82n2SHC1_thumbnail.jpg,Drunken Angel,https://www.criterion.com/films/845-drunken-angel,Akira Kurosawa,Japan,1948
688,https://s3.amazonaws.com/criterion-production/films/49e3fce60e807242669361b7f18cfaf4/wmTcBChKCL1gZNBagJAHXx22sGKgKw_thumbnail.jpg,Dry Summer,https://www.criterion.com/films/28410-dry-summer,Metin Erksan,Turkey,1964
953,https://s3.amazonaws.com/criterion-production/films/d3fa0bd2e5949b9e3c861222fb594d95/ASnRN4Kj6AdEv8RJTDrHKhIve2ZFQY_thumbnail.jpg,A Dry White Season,https://www.criterion.com/films/29148-a-dry-white-season,Euzhan Palcy,United States,1989
,https://s3.amazonaws.com/criterion-production/films/cadaae71d14b8bac75182bc6972d7c8e/7m0pZvbTyGopaxbshIbkCfqAzjJJSe_thumbnail.jpg,Dying at Grace,https://www.criterion.com/films/27517-dying-at-grace,Allan King,Canada,2003
,https://s3.amazonaws.com/criterion-production/films/1f69d8b923beb19f1a7ffa879063863c/An8ui6g0juKCa5KuqA8qwtLrAKtOJK_thumbnail.jpg,Early Spring,https://www.criterion.com/films/770-early-spring,Yasujiro Ozu,Japan,1956
240,https://s3.amazonaws.com/criterion-production/films/0cbd8206128eb5051258b6505fdc6f6c/7NJvtBPD2HpxCAqOqMfHzaGVo0dIwL_thumbnail.jpg,Early Summer,https://www.criterion.com/films/875-early-summer,Yasujiro Ozu,Japan,1951
445,https://s3.amazonaws.com/criterion-production/films/a536a3fb3af463edd2e64152b9661f5c/vwUO7GHWr8ltPBhvvDbO51GIRnqIDL_thumbnail.jpg,The Earrings of Madame de . . .,https://www.criterion.com/films/571-the-earrings-of-madame-de,Max Ophuls,France,1953
545,https://s3.amazonaws.com/criterion-production/films/14e0f640159eab2ffad751c2576b03ad/wVg4QTiXtwJdDc0Bj69D5j8CrAhn8C_thumbnail.jpg,Easy Rider,https://www.criterion.com/films/27528-easy-rider,Dennis Hopper,United States,1969
625,https://s3.amazonaws.com/criterion-production/films/28d6495a960ffeca7c74c5a56d6e36e2/4FZJ4FZE0H7nPOEDoBjes4hUsAkzG1_thumbnail.jpg,Eating Raoul,https://www.criterion.com/films/27767-eating-raoul,Paul Bartel,United States,1982
,https://s3.amazonaws.com/criterion-production/films/7097d0cec67e4882cb538b53d8b72ec0/5Rx66b23nRm2oZXgaE98MZKJODK1Vo_thumbnail.jpg,"Ebirah, Horror of the Deep",https://www.criterion.com/films/30101-ebirah-horror-of-the-deep,Jun Fukuda,Japan,1966
,https://s3.amazonaws.com/criterion-production/product_images/1786-8447e52d3cf78bdfcc795cb64e263666/GnBLRWn7depVNSvGLup8XF7FrAmTcZ_small.jpg,Eclipse Series 10: Silent Ozu—Three Family Comedies,https://www.criterion.com/boxsets/532-eclipse-series-10-silent-ozu-three-family-comedies,,,
,https://s3.amazonaws.com/criterion-production/product_images/1787-b0c0c8cb24d6733eadfa012453ea8076/XsYEpttZ77keADoQ0wqmXPgNX7Lb7k_small.jpg,Eclipse Series 11: Larisa Shepitko,https://www.criterion.com/boxsets/75-eclipse-series-11-larisa-shepitko,,,
,https://s3.amazonaws.com/criterion-production/product_images/1916-dfbddaafe1aff758946babd2864c09b5/GKwtbmlAN9QlTf7n6KeyUHD1L88ZzH_small.jpg,Eclipse Series 12: Aki Kaurismäki’s Proletariat Trilogy,https://www.criterion.com/boxsets/564-eclipse-series-12-aki-kaurism-ki-s-proletariat-trilogy,,,
,https://s3.amazonaws.com/criterion-production/product_images/1789-30ad4b0592cbff2c6526fb4c49b7bd67/Rz7ca7BIMM5JbONK3QdUE9B59KWHLH_small.jpg,Eclipse Series 13: Kenji Mizoguchi’s Fallen Women,https://www.criterion.com/boxsets/571-eclipse-series-13-kenji-mizoguchi-s-fallen-women,,,
,https://s3.amazonaws.com/criterion-production/product_images/1790-28ceda09f3ec8272b12ccae6e8948ccc/WQLQUtATQyb2uRwexodaagYnm8VL0y_small.jpg,Eclipse Series 14: Rossellini’s History Films—Renaissance and Enlightenment,https://www.criterion.com/boxsets/582-eclipse-series-14-rossellini-s-history-films-renaissance-and-enlightenment,,,
,https://s3.amazonaws.com/criterion-production/product_images/1791-33ac56c0ab6c46473fbb827201db6455/cl4pDTM4ZYZyfvJyUFlcDrISlIuq1Z_small.jpg,Eclipse Series 15: Travels with Hiroshi Shimizu,https://www.criterion.com/boxsets/601-eclipse-series-15-travels-with-hiroshi-shimizu,,,
,https://s3.amazonaws.com/criterion-production/product_images/1792-9c7fc9fe72c1452bdcb47e93fc30d9fc/upVBpiNpMTno5TapW08e3GoWZshBAi_small.jpg,Eclipse Series 16: Alexander Korda’s Private Lives,https://www.criterion.com/boxsets/618-eclipse-series-16-alexander-korda-s-private-lives,,,
,https://s3.amazonaws.com/criterion-production/product_images/1793-7dc1975ece4a55a7dda56e9e7886c225/enei07VgNgm835NhftB264Nc56YQVl_small.jpg,Eclipse Series 17: Nikkatsu Noir,https://www.criterion.com/boxsets/655-eclipse-series-17-nikkatsu-noir,,,
,https://s3.amazonaws.com/criterion-production/product_images/1794-050c8e7aa2d3ba1ddbd296d108239cf1/shvY9H0K9PWixHcIAuuAUuKL7GcP2V_small.jpg,Eclipse Series 18: Dušan Makavejev—Free Radical,https://www.criterion.com/boxsets/668-eclipse-series-18-du-an-makavejev-free-radical,,,
,https://s3.amazonaws.com/criterion-production/product_images/1944-5a7d21b7e4f89930b67e3804e42ff1b5/IhmrJ9KB68dQtY9ejACUGeDfs0b9BW_small.jpg,Eclipse Series 19: Chantal Akerman in the Seventies,https://www.criterion.com/boxsets/691-eclipse-series-19-chantal-akerman-in-the-seventies,,,
,https://s3.amazonaws.com/criterion-production/product_images/1777-0bf5a031bd21c3d35f64323b27f49d77/BYXas4KPZ66EXCahX6uErMaxE3Xs3e_small.jpg,Eclipse Series 1: Early Bergman,https://www.criterion.com/boxsets/232-eclipse-series-1-early-bergman,,,
,https://s3.amazonaws.com/criterion-production/product_images/1796-483b655ab9d1d9baba48eb94032f30af/WuPaxZ7TeTCvtv6NWaXAte4xs8Isbv_small.jpg,Eclipse Series 20: George Bernard Shaw on Film,https://www.criterion.com/boxsets/696-eclipse-series-20-george-bernard-shaw-on-film,,,
,https://s3.amazonaws.com/criterion-production/product_images/1797-318501db88ee1da4d45bdd9068dd99a8/8Twx2mnxI1L1ge7GVsY2J76hB2CXjL_small.jpg,Eclipse Series 21: Oshima’s Outlaw Sixties,https://www.criterion.com/boxsets/720-eclipse-series-21-oshima-s-outlaw-sixties,,,
,https://s3.amazonaws.com/criterion-production/product_images/1798-8d9b98e7cf85202e997b51d4ca11eb93/wY65gvPf1AlhK0jQI0nQhMrk94bjn8_small.jpg,Eclipse Series 22: Presenting Sacha Guitry,https://www.criterion.com/boxsets/736-eclipse-series-22-presenting-sacha-guitry,,,
,https://s3.amazonaws.com/criterion-production/product_images/1799-fcaac95edb35eab1748fd0aa854780a9/uv1on3L75tq2TTgNYXA1xJJMo4tbSi_small.jpg,Eclipse Series 23: The First Films of Akira Kurosawa,https://www.criterion.com/boxsets/743-eclipse-series-23-the-first-films-of-akira-kurosawa,,,
,https://s3.amazonaws.com/criterion-production/product_images/1800-f100e87b531cd636a626ca5ba0cfc68f/LyPLSTAelMNwm5qImS7wgCpOZVthhM_small.jpg,Eclipse Series 24: The Actuality Dramas of Allan King,https://www.criterion.com/boxsets/752-eclipse-series-24-the-actuality-dramas-of-allan-king,,,
,https://s3.amazonaws.com/criterion-production/product_images/1801-f20f53bb95aa5f59c515e4ee49da6b9a/6qXfc82MIMrd3BPizcOOdvAgk7LkrV_small.jpg,Eclipse Series 25: Basil Dearden’s London Underground,https://www.criterion.com/boxsets/776-eclipse-series-25-basil-dearden-s-london-underground,,,
,https://s3.amazonaws.com/criterion-production/product_images/1802-0b6ef2ca0e60aa1698b7a2fc348d7d5c/Wdi6a0lzldizjlpRV2l8C5AxMUbnt9_small.jpg,Eclipse Series 26: Silent Naruse,https://www.criterion.com/boxsets/789-eclipse-series-26-silent-naruse,,,
,https://s3.amazonaws.com/criterion-production/product_images/1803-6a8b76d7af61cbee31aced4a8191a85a/zKIrZpwHhlb5ETRsoB0UujdI9OwYFz_small.jpg,Eclipse Series 27: Raffaello Matarazzo’s Runaway Melodramas,https://www.criterion.com/boxsets/808-eclipse-series-27-raffaello-matarazzo-s-runaway-melodramas,,,
,https://s3.amazonaws.com/criterion-production/product_images/1804-3b365ed8a371dd7ded188b82e266b0f3/CiBwv4N3cPUrqarlehkwcVocN6NcqV_small.jpg,Eclipse Series 28: The Warped World of Koreyoshi Kurahara,https://www.criterion.com/boxsets/825-eclipse-series-28-the-warped-world-of-koreyoshi-kurahara,,,
,https://s3.amazonaws.com/criterion-production/product_images/1805-20ea90ca5dd4192605c8592660180de0/mD3Hcvh7QvvNLghVU3Ba1T74LZ4YRB_small.jpg,Eclipse Series 29: Aki Kaurismäki’s Leningrad Cowboys,https://www.criterion.com/boxsets/835-eclipse-series-29-aki-kaurism-ki-s-leningrad-cowboys,,,
,https://s3.amazonaws.com/criterion-production/product_images/1778-b9b79b1b4fb9fe3ac2fe668420267eec/2kV3166j2XTHS3wGEDCK4JeCRXqzM8_small.jpg,Eclipse Series 2: The Documentaries of Louis Malle,https://www.criterion.com/boxsets/275-eclipse-series-2-the-documentaries-of-louis-malle,,,
,https://s3.amazonaws.com/criterion-production/product_images/1806-35b06113390d41a36d70ffe8de10aa12/eLhsC5N4a1JC3PhUkaT0Im806G2oqL_small.jpg,Eclipse Series 30: Sabu!,https://www.criterion.com/boxsets/847-eclipse-series-30-sabu,,,
,https://s3.amazonaws.com/criterion-production/product_images/1807-e9ce4851ff3adf87a31f37a65e9db390/FCDO0zQT8T0oT5QPB7tUs8IP0DvEqR_small.jpg,Eclipse Series 31: Three Popular Films by Jean-Pierre Gorin,https://www.criterion.com/boxsets/855-eclipse-series-31-three-popular-films-by-jean-pierre-gorin,,,
,https://s3.amazonaws.com/criterion-production/product_images/1808-2d46a12c7b3bb2aca94ace66d3c9c0e9/nyO6RFFEuME4UWTQK8qfR39YzD6NJK_small.jpg,Eclipse Series 32: Pearls of the Czech New Wave,https://www.criterion.com/boxsets/870-eclipse-series-32-pearls-of-the-czech-new-wave,,,
,https://s3.amazonaws.com/criterion-production/product_images/1809-a4a8b84c4cbcababe9073629fd726b50/S4JbdHupEZur0VszttgXmG8hjRdrG2_small.jpg,Eclipse Series 33: Up All Night with Robert Downey Sr.,https://www.criterion.com/boxsets/887-eclipse-series-33-up-all-night-with-robert-downey-sr,,,
,https://s3.amazonaws.com/criterion-production/product_images/1810-937c264a8f71a4e7b7e56fd9bb1f6573/RH8phccQiFbDuedTfBmuDM9ZgEXY4E_small.jpg,Eclipse Series 34: Jean Grémillon During the Occupation,https://www.criterion.com/boxsets/897-eclipse-series-34-jean-gr-millon-during-the-occupation,,,
,https://s3.amazonaws.com/criterion-production/product_images/1811-266c43d8e78bfa5f6efd201d3afa048d/V4k8sacHUW9LbGxtOeFlX5FTAbo2xm_small.jpg,Eclipse Series 35: Maidstone and Other Films by Norman Mailer,https://www.criterion.com/boxsets/907-eclipse-series-35-i-maidstone-i-and-other-films-by-norman-mailer,,,
,https://s3.amazonaws.com/criterion-production/product_images/1812-2bdeb818c107e95738f59894990c22b2/oTM1jWGYaWx6KHPFFGsXiyVmbdpCPi_small.jpg,Eclipse Series 36: Three Wicked Melodramas from Gainsborough Pictures,https://www.criterion.com/boxsets/921-eclipse-series-36-three-wicked-melodramas-from-gainsborough-pictures,,,
,https://s3.amazonaws.com/criterion-production/product_images/1813-bbad4cf69cd059690e647db4fe5b90ac/WRupYeFTB10w4zXfxXkrefEOTHORrV_small.jpg,Eclipse Series 37: When Horror Came to Shochiku,https://www.criterion.com/boxsets/928-eclipse-series-37-when-horror-came-to-shochiku,,,
,https://s3.amazonaws.com/criterion-production/product_images/1814-05188e469cca693826bdbdf3dd57b830/gioARS3RJOP8G5KK2fAlRDi3WlRWcD_small.jpg,Eclipse Series 38: Masaki Kobayashi Against the System,https://www.criterion.com/boxsets/952-eclipse-series-38-masaki-kobayashi-against-the-system,,,
,https://s3.amazonaws.com/criterion-production/product_images/1817-57c639fbafa87b5528a76204c26df5eb/86C4RQBGs9NJhKzpS4dwyQmFh97Hlc_small.jpg,Eclipse Series 39: Early Fassbinder,https://www.criterion.com/boxsets/978-eclipse-series-39-early-fassbinder,,,
,https://s3.amazonaws.com/criterion-production/product_images/1779-889dd689f449e84385c45e50a557fdd3/qBw2xZtx2JP3mRP1gv7mAldOH5cnde_small.jpg,Eclipse Series 3: Late Ozu,https://www.criterion.com/boxsets/427-eclipse-series-3-late-ozu,,,
,https://s3.amazonaws.com/criterion-production/product_images/1818-57f2683ad753b4df8aafb5da6eee61e7/VEiipjsBdIMVPkUdotv71PcBz8sezL_small.jpg,Eclipse Series 40: Late Ray,https://www.criterion.com/boxsets/1027-eclipse-series-40-late-ray,,,
,https://s3.amazonaws.com/criterion-production/product_images/1815-4c54bbaa4dc9530bda86c4fba61b3029/syylWOeqXHzqvrpqkVrVaDv4fkH8FT_small.jpg,Eclipse Series 41: Kinoshita and World War II,https://www.criterion.com/boxsets/1083-eclipse-series-41-kinoshita-and-world-war-ii,,,
,https://s3.amazonaws.com/criterion-production/product_images/1821-1d8a377b46c39995d71ea06d318e9b19/wkLCY8V8NJKgnJeo5gF42jyI5Ig5DO_small.jpg,Eclipse Series 42: Silent Ozu—Three Crime Dramas,https://www.criterion.com/boxsets/1104-eclipse-series-42-silent-ozu-three-crime-dramas,,,
,https://s3.amazonaws.com/criterion-production/product_images/1819-4413ef01753e6dde384735a128d09135/xXcyDchamgm9aCNPyFno67BZkiFvKv_small.jpg,Eclipse Series 43: Agnès Varda in California,https://www.criterion.com/boxsets/1124-eclipse-series-43-agn-s-varda-in-california,,,
,https://s3.amazonaws.com/criterion-production/product_images/1820-cad13dad3a97c22bebc2a9ca06d4d892/6VtWN3nFdPeeB727qUGqGdgJwQ3sJo_small.jpg,Eclipse Series 44: Julien Duvivier in the Thirties,https://www.criterion.com/boxsets/1136-eclipse-series-44-julien-duvivier-in-the-thirties,,,
,https://s3.amazonaws.com/criterion-production/product_images/1816-e188e2102b63387dbe23fc67edb6beea/DWwbQG5RL4lfG3HYvO9uUZ78amems4_small.jpg,Eclipse Series 45: Claude Autant-Lara—Four Romantic Escapes from Occupied France,https://www.criterion.com/boxsets/1295-eclipse-series-45-claude-autant-lara-four-romantic-escapes-from-occupied-france,,,
