spine_no,cover_img,title,url,director,country,year
,https://s3.amazonaws.com/criterion-production/films/67dcf51a3bf96adafb61ddaf88704c6d/xnCHyamigjKXyGJ7vuja8o8v6mkOQv_thumbnail.jpg,Affirmations,https://www.criterion.com/films/31185-affirmations,Marlon Riggs,United States,1990
1089,https://s3.amazonaws.com/criterion-production/films/c126e740e2cd8e2b6b0afb978b5bb682/MDaHjtEQ067gqCshZnNA0TcSXNpVOx_thumbnail.jpg,After Life,https://www.criterion.com/films/29081-after-life,Hirokazu Kore-eda,Japan,1998
1046,https://s3.amazonaws.com/criterion-production/films/40e3648637e296fc80b9a4d526f35951/uWUFo8TqJ9uMAr8esMMCqoDE4sgpMx_thumbnail.jpg,After the Curfew,https://www.criterion.com/films/30304-after-the-curfew,Usmar Ismail,Indonesia,1954
,https://s3.amazonaws.com/criterion-production/films/ba2e4386c467bee0792f5983b863c052/1OBWg7ISTCDz63d0iB8f4IbOn2afEj_thumbnail.jpg,After the Rehearsal,https://www.criterion.com/films/27963-after-the-rehearsal,Ingmar Bergman,Sweden,1984
913,https://s3.amazonaws.com/criterion-production/films/23b95546eb76fe0bd9c69678c5130f60/Gicsoj0cO0g4i7a78Otic6zVhZKTv7_thumbnail.jpg,The Age of Innocence,https://www.criterion.com/films/28834-the-age-of-innocence,Martin Scorsese,United States,1993
,https://s3.amazonaws.com/criterion-production/films/8d5277524c0145b565ff66601d48b63c/i5ub3rQJ4TLqUmnDRf2RPPct4Pt4oZ_thumbnail.jpg,The Age of the Medici,https://www.criterion.com/films/1025-the-age-of-the-medici,Roberto Rossellini,Italy,1973
,https://s3.amazonaws.com/criterion-production/films/32f279a7d998f49741327b47642e98e9/h6nRRvbAXSyAmoL55l9rozOn92BM9Y_thumbnail.jpg,Agnès de ci de là Varda,https://www.criterion.com/films/30906-agn-s-de-ci-de-l-varda,Agnès Varda,France,2011
,https://s3.amazonaws.com/criterion-production/product_images/1861-90438cf50ad15d3b8cdd632b9049c397/ZZY6GTioh4PUuW60COYrjYinoS4Hxx_small.jpg,AK 100: 25 Films by Akira Kurosawa,https://www.criterion.com/boxsets/678-ak-100-25-films-by-akira-kurosawa,,,
842,https://s3.amazonaws.com/criterion-production/films/e9fc8a91b2f9ebe10efb6edde367dffe/LRIg86I1YijdtiaQ7G1aWN6USnhprt_thumbnail.jpg,Akira Kurosawa’s Dreams,https://www.criterion.com/films/28700-akira-kurosawa-s-dreams,Akira Kurosawa,Japan,1990
609,https://s3.amazonaws.com/criterion-production/films/0491f97086109447ae043dd560ab1deb/yN0HxZOaIlmehJUNzXjOrTZoTSNtdp_thumbnail.jpg,¡Alambrista!,https://www.criterion.com/films/28101--alambrista,Robert M. Young,United States,1977
87,https://s3.amazonaws.com/criterion-production/films/19c902a73e243b9293de4c717430f639/H1rWEdJtowN7Xh9vSnOvPU9I6y0AgT_thumbnail.jpg,Alexander Nevsky,https://www.criterion.com/films/341-alexander-nevsky,Sergei Eisenstein,Soviet Union,1938
814,https://s3.amazonaws.com/criterion-production/films/4c937e1a2f214fa64d62211753e5f492/k2GNCMB1LPMtr7Dlh3PdIo9jHUFxD1_thumbnail.jpg,Alice in the Cities,https://www.criterion.com/films/27717-alice-in-the-cities,Wim Wenders,Germany,1974
198,https://s3.amazonaws.com/criterion-production/films/7dd41aeeab0ce784854db5756730e849/rp77a94J13Y9gB1nMxqiZ85R5UCaSb_thumbnail.jpg,Ali: Fear Eats the Soul,https://www.criterion.com/films/152-ali-fear-eats-the-soul,Rainer Werner Fassbinder,Germany,1974
1003,https://s3.amazonaws.com/criterion-production/films/43fd6f6135680ac83e75a69d9e94b7e4/SdDSAIemjQdIjmIByE6UI1xwCbXz9C_thumbnail.jpg,All About Eve,https://www.criterion.com/films/29596-all-about-eve,Joseph L. Mankiewicz,United States,1950
1012,https://s3.amazonaws.com/criterion-production/films/081d7c31ab52d99598396ad232926653/psy2aK64LWq4FLcQRLx86tC4MeIcdm_thumbnail.jpg,All About My Mother,https://www.criterion.com/films/29569-all-about-my-mother,Pedro Almodóvar,Spain,1999
,https://s3.amazonaws.com/criterion-production/films/31f099012aaf951c70361da005ba0bc1/t7D0fBx5a0bcQoVaXwwX0kZ5FVhvlI_thumbnail.jpg,All Monsters Attack,https://www.criterion.com/films/29343-all-monsters-attack,Ishiro Honda,Japan,1969
,https://s3.amazonaws.com/criterion-production/films/206d3612870ac05bf88bcc8d2e8d3059/YPoWZODoEbomhN3cOhg16jqR1n0sMC_thumbnail.jpg,All Night Long,https://www.criterion.com/films/27539-all-night-long,Basil Dearden,United Kingdom,1962
95,https://s3.amazonaws.com/criterion-production/films/ef45f7fd0ccef1e881abc80c6b24ff60/GgZDqyYrxCYlRn5FxwXi15SB4qyUTU_thumbnail.jpg,All That Heaven Allows,https://www.criterion.com/films/635-all-that-heaven-allows,Douglas Sirk,United States,1955
